StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
3248;60200459;Hadersdorf, Hauptstraße;Wien;49000001;16.2203940;48.2095945
3249;60200106;Badgasse;Wien;49000001;16.2232237;48.2091515
3250;60200459;Hadersdorf, Hauptstraße;Wien;49000001;16.2199987;48.2098041
3251;60202004;Weidlingau, Herzmanskystraße;Wien;49000001;16.2146538;48.2095586
3252;;Autobahnraststation Auhof;;;0;0
3253;60201402;Auhof, Umspannwerk;Wien;49000001;16.2345514;48.2019972
3254;60201412;Uranusweg;Wien;49000001;16.2518799;48.2074633
3255;60200870;Merkurweg;Wien;49000001;16.2491401;48.2076848
3256;60201266;Siriusweg;Wien;49000001;16.2475231;48.2075950
3257;60200887;Mondweg;Wien;49000001;16.2435346;48.2081458
3258;60201562;Pfarrwiesenstraße;Wien;49000001;16.2416032;48.2094568
3259;60201311;Stammhausstraße;Wien;49000001;16.2397796;48.2112587
3260;60200409;Glossystraße;Wien;49000001;16.2360965;48.2124201
3261;60200612;Josef- Ressel-Straße;Wien;49000001;16.2336980;48.2114204
3262;60200564;Hüttergasse;Wien;49000001;16.2274637;48.2131444
3263;60201743;Ferdinand-Frey-Weg;Wien;49000001;16.2278770;48.2146349
3264;60201261;Wolfersberg, Schöffelplatz;Wien;49000001;16.2279758;48.2165683
3265;60201826;Korngoldgasse;Wien;49000001;16.2303922;48.2157363
3266;60200216;Cottagestraße;Wien;49000001;16.2263049;48.2151736
3267;60200564;Hüttergasse;Wien;49000001;16.2266642;48.2132761
